,delta_idx
743,1558
744,1562
745,1567
746,1569
747,1576
748,1577
749,1578
750,1579
751,1581
752,1584
753,1587
754,1595
755,1597
756,1598
757,1599
758,1600
759,1603
760,1607
761,1609
762,1611
763,1612
764,1614
765,1620
766,1623
767,1628
768,1630
769,1632
770,1635
771,1637
772,1642
773,1643
774,1645
775,1650
776,1652
777,1654
778,1663
779,1666
780,1667
781,1672
782,1675
783,1680
784,1681
785,1686
786,1687
787,1696
788,1697
789,1699
790,1703
791,1706
792,1710
793,1717
794,1721
795,1727
796,1732
797,1733
798,1739
799,1742
800,1743
801,1745
802,1748
803,1750
804,1754
805,1759
806,1761
807,1762
808,1764
809,1766
810,1767
811,1772
812,1781
813,1783
814,1784
815,1786
816,1789
817,1794
818,1796
819,1799
820,1805
821,1807
822,1808
823,1809
824,1811
825,1812
826,1815
827,1821
828,1824
829,1827
830,1829
831,1830
832,1831
833,1834
834,1842
835,1850
836,1851
837,1852
838,1855
839,1858
840,1862
841,1869
842,1870
843,1873
844,1874
845,1875
846,1876
847,1877
848,1880
849,1885
850,1888
851,1895
852,1896
853,1900
854,1901
855,1903
856,1912
857,1914
858,1915
859,1919
860,1933
861,1935
862,1941
863,1944
864,1945
865,1946
866,1947
867,1948
868,1949
869,1951
870,1955
871,1956
872,1960
873,1968
874,1977
875,1979
876,1991
877,1998
878,2000
879,2001
880,2005
881,2006
882,2008
883,2009
884,2011
885,2014
886,2016
887,2020
888,2021
889,2024
890,2035
891,2040
892,2044
893,2047
894,2052
895,2054
896,2063
897,2064
898,2065
899,2071
900,2073
901,2077
902,2078
903,2084
904,2093
905,2095
906,2098
907,2101
908,2108
909,2109
910,2112
911,2113
912,2115
913,2119
914,2130
915,2133
916,2134
917,2136
918,2140
919,2142
920,2145
921,2146
922,2147
923,2152
924,2153
925,2165
926,2171
927,2172
928,2173
929,2175
930,2180
931,2187
932,2189
933,2190
934,2191
935,2192
936,2195
937,2197
938,2198
939,2199
940,2208
941,2209
942,2210
943,2214
944,2216
945,2218
946,2220
947,2223
948,2226
949,2228
950,2230
951,2232
952,2234
953,2239
954,2241
955,2248
956,2249
957,2250
958,2255
959,2258
960,2261
961,2267
962,2273
963,2282
964,2288
965,2289
966,2293
967,2297
968,2298
969,2302
970,2303
971,2304
972,2310
973,2311
974,2314
975,2320
976,2321
977,2323
978,2324
979,2326
980,2328
981,2330
982,2331
983,2332
984,2335
985,2342
986,2348
987,2350
988,2352
989,2358
990,2360
991,2366
992,2369
993,2372
994,2376
995,2390
996,2391
997,2392
998,2396
999,2397
1000,2401
1001,2402
1002,2404
1003,2405
1004,2407
1005,2409
1006,2410
1007,2411
1008,2413
1009,2414
1010,2417
1011,2419
1012,2425
1013,2428
1014,2433
1015,2437
1016,2438
1017,2440
1018,2451
1019,2452
1020,2454
1021,2456
1022,2457
1023,2459
1024,2461
1025,2462
1026,2465
1027,2467
1028,2471
1029,2472
1030,2477
1031,2479
1032,2480
1033,2481
1034,2492
1035,2496
1036,2504
1037,2505
1038,2506
1039,2508
1040,2511
1041,2515
1042,2517
1043,2520
1044,2527
1045,2528
1046,2534
1047,2538
1048,2540
1049,2543
1050,2545
1051,2547
1052,2549
1053,2552
1054,2555
1055,2557
1056,2559
1057,2564
1058,2565
1059,2566
1060,2568
1061,2571
1062,2581
1063,2588
1064,2591
1065,2593
1066,2601
1067,2603
1068,2606
1069,2613
1070,2623
1071,2624
1072,2625
1073,2629
1074,2630
1075,2634
1076,2636
1077,2637
1078,2640
1079,2641
1080,2644
1081,2645
1082,2646
1083,2649
1084,2652
1085,2657
1086,2659
1087,2661
1088,2668
1089,2670
1090,2671
1091,2673
1092,2674
1093,2679
1094,2687
1095,2689
1096,2690
1097,2693
1098,2697
1099,2700
1100,2701
1101,2708
1102,2713
1103,2716
1104,2723
1105,2725
1106,2728
1107,2735
1108,2738
1109,2739
1110,2740
1111,2741
1112,2743
1113,2746
1114,2747
1115,2749
1116,2752
1117,2760
1118,2761
1119,2763
1120,2766
1121,2767
1122,2771
1123,2772
1124,2777
1125,2778
1126,2785
1127,2787
1128,2789
1129,2790
1130,2797
1131,2798
1132,2799
1133,2806
1134,2810
1135,2814
1136,2815
1137,2816
1138,2821
1139,2825
1140,2826
1141,2830
1142,2837
1143,2838
1144,2841
1145,2842
1146,2846
1147,2850
1148,2852
1149,2857
1150,2860
1151,2863
1152,2871
1153,2873
1154,2874
1155,2875
1156,2876
1157,2877
1158,2887
1159,2891
1160,2894
1161,2895
1162,2898
1163,2906
1164,2908
1165,2914
1166,2920
1167,2921
1168,2926
1169,2927
1170,2930
1171,2931
1172,2938
1173,2951
1174,2952
1175,2953
1176,2956
1177,2960
1178,2961
1179,2966
1180,2967
1181,2969
1182,2970
1183,2976
1184,2979
1185,2981
1186,2982
1187,2984
1188,2985
1189,2986
1190,2990
1191,2994
1192,2996
1193,2997
1194,3003
1195,3005
1196,3009
1197,3015
1198,3019
1199,3022
1200,3023
1201,3025
1202,3026
1203,3030
1204,3031
1205,3034
1206,3035
1207,3038
1208,3041
1209,3042
1210,3044
1211,3045
1212,3046
1213,3049
1214,3050
1215,3051
1216,3057
1217,3069
1218,3075
1219,3079
1220,3080
1221,3082
1222,3084
1223,3088
1224,3089
1225,3091
1226,3092
1227,3095
1228,3097
1229,3099
1230,3104
1231,3110
1232,3114
1233,3116
1234,3118
1235,3119
1236,3123
1237,3128
1238,3129
1239,3130
1240,3135
1241,3143
1242,3145
1243,3150
1244,3153
1245,3159
1246,3163
1247,3168
1248,3175
1249,3183
1250,3194
1251,3195
1252,3196
1253,3203
1254,3207
1255,3208
1256,3209
1257,3211
1258,3216
1259,3219
1260,3221
1261,3222
1262,3224
1263,3227
1264,3229
1265,3231
1266,3232
1267,3234
1268,3238
1269,3239
1270,3244
1271,3247
1272,3249
1273,3254
1274,3261
1275,3277
1276,3278
1277,3282
1278,3283
1279,3286
1280,3287
1281,3289
1282,3290
1283,3291
1284,3293
1285,3298
1286,3303
1287,3307
1288,3308
1289,3317
1290,3319
1291,3320
1292,3321
1293,3332
1294,3335
1295,3337
1296,3338
1297,3343
1298,3349
1299,3352
1300,3353
1301,3355
1302,3357
1303,3358
1304,3359
1305,3362
1306,3363
1307,3369
1308,3373
1309,3375
1310,3376
1311,3377
1312,3379
1313,3385
1314,3386
1315,3388
1316,3393
1317,3397
1318,3399
1319,3402
1320,3403
1321,3405
1322,3407
1323,3410
1324,3414
1325,3415
1326,3418
1327,3419
1328,3421
1329,3428
1330,3431
1331,3435
1332,3438
1333,3444
1334,3445
1335,3451
1336,3455
1337,3457
1338,3460
1339,3466
1340,3469
1341,3470
1342,3472
1343,3475
1344,3476
1345,3479
1346,3482
1347,3484
1348,3487
1349,3494
1350,3495
1351,3498
1352,3499
1353,3506
1354,3511
1355,3512
1356,3513
1357,3514
1358,3517
1359,3520
1360,3522
1361,3525
1362,3528
1363,3533
1364,3537
1365,3539
1366,3542
1367,3546
1368,3547
1369,3551
1370,3553
1371,3557
1372,3559
1373,3560
1374,3572
1375,3573
1376,3574
1377,3575
1378,3579
1379,3580
1380,3582
1381,3587
1382,3588
1383,3601
1384,3610
1385,3611
1386,3622
1387,3624
1388,3626
1389,4
1390,19
1391,34
1392,50
1393,56
1394,60
1395,62
1396,69
1397,70
1398,75
1399,80
1400,81
1401,82
1402,92
1403,93
1404,110
1405,116
1406,119
1407,146
1408,149
1409,154
1410,157
1411,170
1412,172
1413,173
1414,175
1415,186
1416,192
1417,197
1418,199
1419,208
1420,212
1421,213
1422,217
1423,221
1424,223
1425,231
1426,232
1427,241
1428,246
1429,249
1430,251
1431,259
1432,260
1433,261
1434,264
1435,279
1436,284
1437,297
1438,300
1439,307
1440,313
1441,326
1442,327
1443,334
1444,336
1445,339
1446,343
1447,345
1448,349
1449,350
1450,353
1451,371
1452,382
1453,388
1454,411
1455,414
1456,417
1457,421
1458,422
1459,424
1460,427
1461,430
1462,432
1463,436
1464,439
1465,448
1466,451
1467,457
1468,468
1469,470
1470,476
1471,483
1472,490
1473,497
1474,500
1475,501
1476,508
1477,512
1478,514
1479,523
1480,526
1481,539
1482,541
1483,543
1484,549
1485,552
1486,559
1487,564
1488,565
1489,568
1490,573
1491,583
1492,592
1493,609
1494,618
1495,621
1496,624
1497,629
1498,637
1499,638
1500,640
1501,646
1502,652
1503,654
1504,656
1505,659
1506,667
1507,671
1508,680
1509,681
1510,682
1511,685
1512,692
1513,697
1514,700
1515,703
1516,705
1517,710
1518,719
1519,724
1520,745
1521,747
1522,750
1523,755
1524,758
1525,759
1526,777
1527,779
1528,783
1529,784
1530,789
1531,791
1532,795
1533,798
1534,802
1535,803
1536,805
1537,812
1538,826
1539,829
1540,833
1541,834
1542,845
1543,846
1544,849
1545,850
1546,854
1547,855
1548,856
1549,857
1550,859
1551,862
1552,864
1553,866
1554,869
1555,873
1556,877
1557,879
1558,888
1559,891
1560,904
1561,909
1562,916
1563,928
1564,931
1565,937
1566,938
1567,944
1568,946
1569,949
1570,951
1571,954
1572,958
1573,962
1574,966
1575,970
1576,971
1577,977
1578,986
1579,988
1580,990
1581,994
1582,997
1583,1003
1584,1004
1585,1013
1586,1016
1587,1022
1588,1023
1589,1026
1590,1028
1591,1038
1592,1040
1593,1041
1594,1046
1595,1054
1596,1061
1597,1073
1598,1074
1599,1075
1600,1078
1601,1083
1602,1089
1603,1093
1604,1098
1605,1104
1606,1105
1607,1134
1608,1143
1609,1148
1610,1159
1611,1170
1612,1175
1613,1176
1614,1182
1615,1188
1616,1197
1617,1202
1618,1205
1619,1217
1620,1218
1621,1219
1622,1222
1623,1225
1624,1230
1625,1231
1626,1242
1627,1243
1628,1249
1629,1250
1630,1251
1631,1252
1632,1256
1633,1261
1634,1271
1635,1272
1636,1275
1637,1277
1638,1281
1639,1282
1640,1286
1641,1289
1642,1291
1643,1294
1644,1297
1645,1305
1646,1307
1647,1312
1648,1315
1649,1326
1650,1327
1651,1328
1652,1332
1653,1339
1654,1344
1655,1349
1656,1353
1657,1354
1658,1369
1659,1370
1660,1377
1661,1380
1662,1391
1663,1401
1664,1402
1665,1412
1666,1422
1667,1425
1668,1429
1669,1430
1670,1433
1671,1435
1672,1438
1673,1440
1674,1441
1675,1444
1676,1452
1677,1465
1678,1467
1679,1468
1680,1476
1681,1477
1682,1483
1683,1484
1684,1486
1685,1487
1686,1491
1687,1494
1688,1495
1689,1496
1690,1498
1691,1502
1692,1506
1693,1508
1694,1511
1695,1514
1696,1516
1697,1517
1698,1519
1699,1522
1700,1524
1701,1530
1702,1535
1703,1541
1704,1544
1705,1548
1706,1550
1707,1556
1708,1563
1709,1582
1710,1588
1711,1589
1712,1590
1713,1591
1714,1593
1715,1601
1716,1609
1717,1611
1718,1626
1719,1627
1720,1633
1721,1636
1722,1637
1723,1644
1724,1648
1725,1649
1726,1656
1727,1659
1728,1662
1729,1667
1730,1679
1731,1683
1732,1684
1733,1686
1734,1687
1735,1688
1736,1690
1737,1693
1738,1697
1739,1702
1740,1705
1741,1706
1742,1707
1743,1710
1744,1712
1745,1716
1746,1718
1747,1722
1748,1723
1749,1724
1750,1730
1751,1731
1752,1736
1753,1738
1754,1740
1755,1743
1756,1744
1757,1745
1758,1746
1759,1760
1760,1771
1761,1773
1762,1774
1763,1775
1764,1781
1765,1783
1766,1786
1767,1790
1768,1793
1769,1802
1770,1806
1771,1816
1772,1819
1773,1823
